Year,VALUE,Cumulative_EV,YoY_Growth_%
2016,392.0,392.0,
2017,623.0,1015.0,58.928571428571416
2018,1222.0,2237.0,96.14767255216694
2019,3443.0,5680.0,181.75122749590832
2020,3940.0,9620.0,14.435085681092064
2021,8554.0,18174.0,117.10659898477158
2022,15462.0,33636.0,80.75754033200842
2023,22493.0,56129.0,45.47277195705601
2024,17191.0,73320.0,-23.57177788645356
2025,23398.0,96718.0,36.10610203013205
